Year;Country of production;Coffee bean;Department;Municipality of export;Exporter;Exporter group;Importer;Importer group;Country of destination;Economic bloc;Department trase id;Country of production (Trase ID);Country of destination (Trase ID);Trade volume;Trade value
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;MITSUI FOODS INC;MITSUI FOODS INC;CANADA;CANADA;CO-05;CO;CA;16,47509045;92799,48331
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;CIA CAFETERA LA MESETA S A;CIA CAFETERA LA MESETA S A;ATLANTIC;ATLANTIC;UNITED STATES;UNITED STATES;CO-41;CO;US;115,451;556448,73
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;TALOCA AG;TALOCA AG;GERMANY;EUROPEAN UNION;CO-41;CO;DE;41,969;164830,25
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;CARCAFE LTD;CARCAFE LTD;UNKNOWN;UNKNOWN;AUSTRALIA;AUSTRALIA;CO-41;CO;AU;129,6730466;623626,5466
2012;COLOMBIA;ROASTED;NARINO;IPIALES;PROMOTORA CHILENA DE CAFE COLOMBIA SA;PROMOTORA CHILENA DE CAFE COLOMBIA SA;CORP FAVORITA C A;CORP FAVORITA C A;ECUADOR;ECUADOR;CO-52;CO;EC;43,24565;955700,48
2012;COLOMBIA;ROASTED;CALDAS;CARTAGENA DE INDIAS;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;UNKNOWN;UNKNOWN;ITALY;EUROPEAN UNION;CO-17;CO;IT;25,125;318440
2012;COLOMBIA;GREEN;TOLIMA;CARTAGENA DE INDIAS;CARCAFE LTD;CARCAFE LTD;UNITED LOGISTIC SERVICES;UNITED LOGISTIC SERVICES;ITALY;EUROPEAN UNION;CO-73;CO;IT;38,43;204222,51
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;CIA CAFETERA LA MESETA S A;CIA CAFETERA LA MESETA S A;ROTHFOS CORP;ROTHFOS CORP;MEXICO;MEXICO;CO-41;CO;MX;57,738;232964
2012;COLOMBIA;ROASTED;VALLE DEL CAUCA;CARTAGENA DE INDIAS;NESTLE BRASIL LTDA;NESTLE;NESTLE BRASIL LTDA;NESTLE;PUERTO RICO;PUERTO RICO;CO-76;CO;PR;29,385;365112,53
2012;COLOMBIA;GREEN;RISARALDA;BUENAVENTURA;ALEXCAFE S A S;ALEXCAFE S A S;MERCON COFFEE CORP;MERCON COFFEE CORP;RUSSIAN FEDERATION;RUSSIAN FEDERATION;CO-66;CO;RU;19,239;76027,03
2012;COLOMBIA;PROCESSED;SANTANDER;CARTAGENA DE INDIAS;BARON RUBIO JUAN JACOBO;BARON RUBIO JUAN JACOBO;BEAN Y GONE BERNARD WOOLRIDGE;BEAN Y GONE BERNARD WOOLRIDGE;BERMUDA;BERMUDA;CO-68;CO;BM;3,555;34996,2
2012;COLOMBIA;GREEN;RISARALDA;BUENAVENTURA;ALEXCAFE S A S;ALEXCAFE S A S;AMERICAN COFFEE;AMERICAN COFFEE;UNITED STATES;UNITED STATES;CO-66;CO;US;442,556;1583851,24
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;ALLPRESS ESPRESSO AUSTRALIA PTY LTD;ALLPRESS ESPRESSO AUSTRALIA PTY LTD;AUSTRALIA;AUSTRALIA;CO-41;CO;AU;57,744;300132,54
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;LOUIS DREYFUS COMMODITIES COLOMBIA S A S;LOUIS DREYFUS;UNKNOWN;UNKNOWN;ALBANIA;ALBANIA;CO-66;CO;AL;4,96162813;23818,65024
2012;COLOMBIA;PROCESSED;TOLIMA;SANTAFE DE BOGOTA;CAFE Y CIA S A 891410182;CAFE Y CIA S A 891410182;COLOMBIA IMPORT GMBH;COLOMBIA IMPORT GMBH;SWITZERLAND;SWITZERLAND;CO-73;CO;CH;1,2725;9995,04
2012;COLOMBIA;GREEN;VALLE DEL CAUCA;BUENAVENTURA;C I EXPORTADORA CASH CAFE S A;C I EXPORTADORA CASH CAFE S A;UNKNOWN;UNKNOWN;UNITED STATES;UNITED STATES;CO-76;CO;US;19,26;88741,83
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;F F T COLOMBIA S A;F F T COLOMBIA S A;UNKNOWN;UNKNOWN;JAPAN;JAPAN;CO-41;CO;JP;17,196;95193,86
2012;COLOMBIA;ROASTED;ANTIOQUIA;CARTAGENA DE INDIAS;INDUSTRIA COLOMBIANA DE CAFE S A S;INDUSTRIA COLOMBIANA DE CAFE S A S;MARRIOTT AUSTRALIA PTY LTD;MARRIOTT AUSTRALIA PTY LTD;AUSTRALIA;AUSTRALIA;CO-05;CO;AU;42,4125;472862,5
2012;COLOMBIA;GREEN;VALLE DEL CAUCA;BUENAVENTURA;TELMO J DIAZ Y CIA S A;TELMO J DIAZ Y CIA S A;UNKNOWN;UNKNOWN;UNITED STATES;UNITED STATES;CO-76;CO;US;49,33218;401328,61
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;COMPANIA COLOMBIANA AGROINDUSTRIAL S A;COMPANIA COLOMBIANA AGROINDUSTRIAL S A;MITSUI FOODS INC;MITSUI FOODS INC;UNITED STATES;UNITED STATES;CO-66;CO;US;770,067;3500979,39
2012;COLOMBIA;GREEN;CAUCA;BUENAVENTURA;PROMOT DE INVERSIONES VARGAS RUBIO S A;PROMOT DE INVERSIONES VARGAS RUBIO S A;UNKNOWN;UNKNOWN;ICELAND;ICELAND;CO-19;CO;IS;19,27;100366,42
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;OUTSPAN COLOMBIA S A S C I;OUTSPAN COLOMBIA S A S C I;UNKNOWN;UNKNOWN;DENMARK;EUROPEAN UNION;CO-05;CO;DK;221,8040832;1011543,798
2012;COLOMBIA;GREEN;CALDAS;CARTAGENA DE INDIAS;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;UNKNOWN;UNKNOWN;SPAIN;EUROPEAN UNION;CO-17;CO;ES;2418,869;12857599,41
2012;COLOMBIA;GREEN;CESAR;CARTAGENA DE INDIAS;NOBLE COL S A S  COLOMBIAN COMMODITY GROUP C I S A S;NOBLE;FOLGER COFFEE CO;FOLGER COFFEE CO;UNITED STATES;UNITED STATES;CO-20;CO;US;105,072;658356,73
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;UNKNOWN;UNKNOWN;JAPAN;JAPAN;CO-41;CO;JP;190,546;925669,8
